State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35555,5,260,33543
AL,35555,6,50,14850
AL,35563,1,670,8487
AL,35563,2,400,14386
AL,35563,3,220,13595
AL,35563,4,130,11484
AL,35563,5,140,21093
AL,35563,6,0,0
AL,35564,1,350,4567
AL,35564,2,230,8085
AL,35564,3,110,6969
AL,35564,4,50,4025
AL,35564,5,40,4328
AL,35564,6,0,0
AL,35565,1,2250,29283
AL,35565,2,1270,45116
AL,35565,3,610,37196
AL,35565,4,270,22905
AL,35565,5,250,31904
AL,35565,6,60,26400
AL,35570,1,1800,23173
AL,35570,2,1000,35468
AL,35570,3,520,31861
AL,35570,4,320,27528
AL,35570,5,220,28423
AL,35570,6,40,16524
AL,35571,1,140,1632
AL,35571,2,100,3796
AL,35571,3,40,2661
AL,35571,4,50,6304
AL,35571,5,0,0
AL,35571,6,0,0
AL,35572,1,140,1661
AL,35572,2,120,4029
AL,35572,3,60,3706
AL,35572,4,20,1838
AL,35572,5,40,6219
AL,35572,6,0,0
AL,35574,1,200,2597
AL,35574,2,160,5809
AL,35574,3,100,6118
AL,35574,4,50,3949
AL,35574,5,50,6126
AL,35574,6,0,0
AL,35575,1,150,1830
AL,35575,2,100,3722
AL,35575,3,50,2952
AL,35575,4,40,3588
AL,35575,5,30,3128
AL,35575,6,0,0
AL,35576,1,420,5247
AL,35576,2,300,11030
AL,35576,3,200,12599
AL,35576,4,110,9405
AL,35576,5,110,13651
AL,35576,6,0,0
AL,35578,1,760,10134
AL,35578,2,540,19216
AL,35578,3,260,15990
AL,35578,4,150,13061
AL,35578,5,110,14522
AL,35578,6,0,0
AL,35579,1,470,6514
AL,35579,2,340,12262
AL,35579,3,170,10824
AL,35579,4,90,7543
AL,35579,5,100,12788
AL,35579,6,0,0
AL,35580,1,600,8152
AL,35580,2,350,12800
AL,35580,3,210,12787
AL,35580,4,140,12072
AL,35580,5,130,18816
AL,35580,6,0,0
